tipo,ordem,fc,fase_zero,rp,rs,rmse
cheby2,7,1800,True,0.5,40.0,0.36362586026476573
butter,1,1400,True,0.5,40.0,0.3636314085518363
cheby2,7,1100,True,0.5,50.0,0.36379536124408646
cheby2,7,2100,True,0.5,60.0,0.36390982311320863
butter,8,1500,True,0.5,40.0,0.36393981644160606
ellip,1,700,True,0.5,50.0,0.36398669152086627
ellip,1,700,True,0.5,40.0,0.36398669152086627
ellip,1,700,True,0.5,30.0,0.36398669152086627
ellip,1,700,True,0.5,60.0,0.36398669152086627
cheby1,1,700,True,0.5,40.0,0.36398669152086655
ellip,3,1200,True,0.1,40.0,0.36405955375112314
cheby2,6,2100,True,0.5,50.0,0.364132676928093
butter,3,1600,True,0.5,40.0,0.36420873258154446
cheby2,5,2100,True,0.5,40.0,0.36435223327273286
cheby2,4,2100,True,0.5,30.0,0.36450563066756286
ellip,1,1000,True,1.0,30.0,0.3645303733327849
ellip,1,1000,True,1.0,60.0,0.3645303733327849
ellip,1,1000,True,1.0,40.0,0.3645303733327849
ellip,1,1000,True,1.0,50.0,0.3645303733327849
cheby1,1,1000,True,1.0,40.0,0.3645303733327851
ellip,3,1200,True,0.1,50.0,0.36517333094224624
cheby2,6,2300,True,0.5,60.0,0.36519396988707054
ellip,3,1200,True,0.5,30.0,0.3652344676763741
ellip,5,1400,True,0.1,40.0,0.3655865367607003
ellip,3,1200,True,0.1,60.0,0.36570033973479615
cheby2,4,2400,True,0.5,40.0,0.3659878748257535
cheby2,5,1900,True,0.5,30.0,0.36610517836609663
cheby1,3,1200,True,0.1,40.0,0.36616212771111545
cheby2,7,1700,True,0.5,30.0,0.36658316090258497
cheby2,3,2500,True,0.5,30.0,0.3666725463211819
cheby1,7,1400,True,0.1,40.0,0.3666744987866721
butter,2,1700,True,0.5,40.0,0.36681565508745073
cheby2,4,1200,True,0.5,30.0,0.36710231964686957
ellip,3,1300,True,0.5,30.0,0.3671155903274722
ellip,3,1100,True,0.5,30.0,0.3671921739252766
cheby1,5,700,True,0.1,40.0,0.3677109949031756
ellip,5,1400,True,0.1,50.0,0.36774846023284524
butter,1,1800,True,0.5,40.0,0.3682326293708876
cheby2,8,2000,True,0.5,60.0,0.368618235333149
ellip,3,1200,True,0.5,40.0,0.36883105893068
cheby2,4,2700,True,0.5,50.0,0.36885774076053207
butter,4,1600,True,0.5,40.0,0.36899909769670164
ellip,5,1400,True,0.1,60.0,0.36923722159960465
cheby2,6,1800,True,0.5,30.0,0.36947263851603435
ellip,3,600,True,0.1,30.0,0.3695484246039555
cheby2,4,2100,True,0.5,60.0,0.3695570998227248
cheby2,5,2600,True,0.5,60.0,0.36994043838921514
ellip,3,1100,True,0.5,40.0,0.3705428454675016
cheby1,1,500,True,0.5,40.0,0.37056648122648644
ellip,1,500,True,0.5,40.0,0.37056648122648644
ellip,1,500,True,0.5,60.0,0.37056648122648644
ellip,1,500,True,0.5,30.0,0.37056648122648644
ellip,1,500,True,0.5,50.0,0.37056648122648644
butter,4,800,True,0.5,40.0,0.37061625217633115
ellip,3,1200,True,0.5,50.0,0.37064565803882804
cheby2,5,1200,True,0.5,40.0,0.3707608769760289
ellip,3,1300,True,0.5,40.0,0.3708501398208285
cheby2,7,2000,True,0.5,50.0,0.371291846189701
ellip,3,1200,True,0.5,60.0,0.37152074156460835
cheby1,1,1100,True,1.0,40.0,0.371537030063056
ellip,1,1100,True,1.0,40.0,0.3715370300630562
ellip,1,1100,True,1.0,50.0,0.3715370300630562
ellip,1,1100,True,1.0,30.0,0.3715370300630562
ellip,1,1100,True,1.0,60.0,0.3715370300630562
ellip,7,1500,True,0.1,30.0,0.3716169700551701
butter,1,1300,True,0.5,40.0,0.37162287892794194
cheby1,5,1400,True,0.1,40.0,0.3719998651223694
butter,5,1600,True,0.5,40.0,0.3721610593137387
ellip,3,1000,True,0.5,30.0,0.37219211358968746
